class,precision,recall,f1-score,support
교통카드,0.0,0.0,0.0,0.0
교환하다,0.0,0.0,0.0,0.0
국립박물관,0.49635036496350365,0.9066666666666666,0.6415094339622641,75.0
군청,0.8571428571428571,0.75,0.8,144.0
그남자,0.0,0.0,0.0,0.0
그만,0.0,0.0,0.0,0.0
급하다,0.0,0.0,0.0,0.0
기다리다,0.9104477611940298,0.9682539682539683,0.9384615384615385,63.0
기본,0.8048780487804879,0.9705882352941176,0.88,34.0
기차,0.8086124401913876,0.9548022598870056,0.8756476683937824,177.0
길,0.8959212376933896,0.9285714285714286,0.9119541875447388,686.0
까먹다,0.0,0.0,0.0,0.0
꼿다,0.0,0.0,0.0,0.0
끄다,0.8472906403940886,0.8686868686868687,0.85785536159601,198.0
끝,0.0,0.0,0.0,0.0
나,0.7222222222222222,0.8297872340425532,0.7722772277227723,47.0
나르다,0.8360655737704918,0.8360655737704918,0.8360655737704918,61.0
나사렛,0.899641577060932,0.8964285714285715,0.8980322003577818,280.0
난방,0.875,0.7979274611398963,0.8346883468834688,193.0
남다,0.0,0.0,0.0,0.0
내리다,0.9247800170309396,0.9115836597649692,0.918134422995632,3574.0
내역,0.0,0.0,0.0,0.0
냄새,0.9090909090909091,0.7575757575757576,0.8264462809917356,66.0
노트북,0.9310344827586207,0.84375,0.8852459016393442,32.0
누구,0.0,0.0,0.0,0.0
누적사용,0.0,0.0,0.0,0.0
늦다,0.0,0.0,0.0,0.0
다르다,0.782608695652174,0.4,0.5294117647058824,45.0
다시,0.782608695652174,0.8737864077669902,0.8256880733944955,103.0
다음,0.8865058087578195,0.9355548569632192,0.9103701437748547,3181.0
단말기터치,0.7471264367816092,0.9241706161137441,0.826271186440678,211.0
당신,0.0,0.0,0.0,0.0
대략,0.0,0.0,0.0,0.0
대로,0.8450704225352113,0.9375,0.8888888888888888,192.0
도로,0.0,0.0,0.0,5.0
도와주다,0.7794117647058824,1.0,0.8760330578512396,53.0
도움,0.0,0.0,0.0,9.0
도움받다,0.8166666666666667,0.98,0.8909090909090909,50.0
도착,0.8637236084452975,0.916030534351145,0.8891084218325512,1965.0
돈,0.8802083333333334,0.8848167539267016,0.8825065274151436,191.0
돈받다,0.5666666666666667,0.3617021276595745,0.44155844155844154,47.0
돈얼마,0.5,0.017543859649122806,0.03389830508474576,57.0
돈주다,0.4090909090909091,0.375,0.391304347826087,24.0
되다,0.8658536585365854,0.8875,0.8765432098765432,240.0
뒤,0.5909090909090909,0.7222222222222222,0.65,36.0
들어올리다,0.8970588235294118,1.0,0.9457364341085271,61.0
따뜻하다,0.7808219178082192,0.95,0.8571428571428571,60.0
딱,0.8666666666666667,0.7959183673469388,0.8297872340425532,49.0
떨어지다,0.6744186046511628,0.49572649572649574,0.5714285714285714,117.0
또,0.0,0.0,0.0,0.0
롯데월드,0.0,0.0,0.0,0.0
마포대교,0.896551724137931,0.8,0.8455284552845529,65.0
막차,0.0,0.0,0.0,0.0
만나다,0.0,0.0,0.0,0.0
만원,0.9591836734693877,0.8867924528301887,0.9215686274509803,53.0
말하다,0.0,0.0,0.0,0.0
말해주다,0.0,0.0,0.0,21.0
맞다,0.8880331753554502,0.9322139303482587,0.9095873786407767,1608.0
맥도날드,0.7727272727272727,0.9596774193548387,0.8561151079136691,124.0
명동,0.7771739130434783,0.910828025477707,0.8387096774193549,157.0
몇분,0.8214285714285714,0.8363636363636363,0.8288288288288288,55.0
몇사람,0.0,0.0,0.0,0.0
몇호,0.7111111111111111,0.9696969696969697,0.8205128205128205,66.0
모르다,0.0,0.0,0.0,0.0
목적,0.8216039279869067,0.8964285714285715,0.8573868488471392,560.0
무엇,0.8707403055229143,0.8748524203069658,0.872791519434629,847.0
문,0.6129032258064516,0.8636363636363636,0.7169811320754716,22.0
문안열리다,0.75,0.8048780487804879,0.7764705882352941,41.0
